lat_r,lon_r,cluster
26.6,91.6,1142
26.6,91.7,1142
26.6,91.8,1905
26.6,91.9,489
26.6,92.4,997
26.6,92.5,997
26.6,92.8,932
26.6,93.3,380
26.6,93.4,380
26.6,93.5,1060
26.6,93.7,1448
26.6,93.8,1996
26.6,93.9,893
26.6,94.0,893
26.6,94.1,1275
26.6,94.2,1275
26.6,94.4,1581
26.7,90.8,1192
26.7,90.9,712
26.7,91.0,712
26.7,91.1,1073
26.7,91.2,1073
26.7,91.6,1142
26.7,91.7,1905
26.7,91.8,1905
26.7,91.9,489
26.7,92.1,1466
26.7,92.2,1466
26.7,92.5,1608
26.7,92.6,1215
26.7,93.6,1448
26.7,93.7,1448
26.7,93.8,1996
26.7,93.9,1996
26.7,94.2,1829
26.7,94.5,1934
26.7,94.6,1934
26.8,92.0,489
26.8,92.1,1466
26.8,92.6,1215
26.8,93.0,699
26.8,93.1,699
26.8,93.3,330
26.8,93.4,123
26.8,93.6,1876
26.8,93.7,1876
26.8,93.8,1996
26.8,93.9,660
26.8,94.7,1481
26.8,94.8,628
26.9,93.6,1876
26.9,93.7,1876
26.9,93.8,660
26.9,93.9,660
26.9,94.3,90
26.9,94.4,90
26.9,95.0,1044
27.0,93.9,444
27.0,94.0,1672
27.0,94.1,1672
27.0,94.2,1591
27.0,94.4,1591
27.0,94.5,1158
27.0,94.6,1158
27.0,94.8,1293
27.0,95.0,1044
27.0,95.1,1044
27.1,93.9,1752
27.1,94.0,1752
27.1,94.1,1672
27.1,94.3,1591
27.1,94.4,1591
27.1,94.5,1158
27.1,94.6,505
27.1,94.7,505
27.1,94.8,1431
27.1,94.9,1431
27.1,95.0,917
27.1,95.1,917
27.1,95.2,1384
27.1,95.3,1384
27.1,95.4,1242
27.2,94.3,1437
27.2,94.4,1094
27.2,94.5,1094
27.2,94.6,505
27.2,94.7,505
27.2,94.8,1431
27.2,94.9,1004
27.2,95.0,917
27.2,95.1,917
27.2,95.2,1252
27.2,95.3,1252
27.2,95.4,759
27.2,95.6,1071
27.3,94.3,1437
27.3,94.4,1094
27.3,94.5,1094
27.3,94.6,505
27.3,94.7,505
27.3,94.8,1004
27.3,94.9,1004
27.3,95.0,1004
27.3,95.1,1713
27.3,95.2,1252
27.3,95.3,1252
27.3,95.4,759
27.3,95.5,759
27.3,95.6,1071
27.3,95.9,282
27.4,94.2,171
27.4,94.3,1437
27.4,94.4,1437
27.4,94.5,193
27.4,94.6,193
27.4,94.8,1900
27.4,94.9,1900
27.4,95.0,1713
27.4,95.1,1713
27.4,95.2,1713
27.4,95.3,759
27.4,95.5,759
27.4,95.6,1131
27.4,95.7,1131
27.5,94.3,191
27.5,94.4,191
27.5,94.5,193
27.5,94.6,193
27.5,94.7,788
27.5,94.8,1900
27.5,94.9,1900
27.6,94.7,788
27.9,95.7,630
26.3,91.5,1734
26.4,91.5,1734
26.5,91.5,1263
26.6,91.5,1263
27.1,94.2,1591
27.2,94.0,202
27.2,94.1,202
27.2,94.2,989
27.3,94.1,989
27.3,94.2,989
26.7,92.0,489
