cluster,month,anchor
28,5,0.028701527706529187
28,6,0.02382380743328393
28,7,0.02333201350938757
28,8,0.023625502471310577
28,9,0.025720930398367484
28,10,0.029065556204763497
28,11,0.03202287502967372
28,12,0.034889121481218005
29,1,0.03575924328604435
29,2,0.0349348996436687
29,3,0.03955683102315557
29,4,0.034705895134721554
29,5,0.03197441209869351
29,6,0.03250675523183421
29,7,0.0280083434978026
29,8,0.02837618309725476
29,9,0.03171443112191995
29,10,0.033074799442307526
29,11,0.036681837766689464
29,12,0.03632613754091837
30,1,0.04761924559693904
30,2,0.04386610823815392
30,3,0.045266522887229384
30,4,0.04449300789143894
30,5,0.04803719857386564
30,6,0.04653559214216658
30,7,0.034138559635058
30,8,0.035930607902942294
30,9,0.03955495059854467
30,10,0.04018558375369753
30,11,0.046366112092374324
30,12,0.04789483568605774
31,1,0.04712799707001181
31,2,0.044554348976523085
31,3,0.04518555122411296
31,4,0.0452221461913602
31,5,0.04767765083077938
31,6,0.04661683026174192
31,7,0.034664106279981705
31,8,0.03699911240470613
31,9,0.040358044104787855
31,10,0.041046743575415504
31,11,0.04724830665958652
31,12,0.04857644265854486
32,1,0.03835927878369499
32,2,0.03898612563966234
32,3,0.04094472800015577
32,4,0.03845961704929491
32,5,0.04030261064296458
32,6,0.036553682318375656
32,7,0.03466106977611931
32,8,0.033317800115874326
32,9,0.03607616870094555
32,10,0.03866671660948079
32,11,0.04007186951991661
32,12,0.03830185654364988
33,1,0.03494104971472255
33,2,0.03536952950935986
33,3,0.03732304492405004
33,4,0.03249443561386276
33,5,0.03220486341527832
33,6,0.03224463473778376
33,7,0.02959919237572907
33,8,0.030123331496694623
33,9,0.032013720225698476
33,10,0.031863213207714534
33,11,0.03541891886322535
33,12,0.036048964581827395
34,1,0.03517867261300647
34,2,0.03458696233205756
34,3,0.038404181085846985
34,4,0.039316302509380084
34,5,0.03809453674594382
34,6,0.037116380554749744
34,7,0.02919671000667356
34,8,0.03045854597170963
34,9,0.03368793215692665
34,10,0.03277219637184131
34,11,0.036215155700217626
34,12,0.03559840282178368
35,1,0.035574676220834656
35,2,0.03538319779998291
35,3,0.038081062811552345
35,4,0.03465379552934127
35,5,0.03294849862620604
35,6,0.033158064759965626
35,7,0.02981665921505319
35,8,0.02988430574998526
35,9,0.03283712413617603
35,10,0.03314878630744015
35,11,0.03656995701213068
35,12,0.03699546352533595
36,1,0.039539972457419165
36,2,0.039667562122645786
36,3,0.04414257714456497
36,4,0.043175920713861546
36,5,0.03842572861954685
36,6,0.032299131876113454
36,7,0.02684142101351753
36,8,0.0277858187800004
36,9,0.03080662298385801
36,10,0.03577564713164423
36,11,0.03874922603850783
36,12,0.04020227135829492
37,1,0.041314457133071976
37,2,0.0400118730044659
37,3,0.044263983264558375
37,4,0.04480982812129149
37,5,0.03940264793330966
37,6,0.03504670634546281
37,7,0.028987172387799368
37,8,0.0299600667263263
37,9,0.033222164121935856
37,10,0.036074325904818065
37,11,0.0418717134975085
37,12,0.042268893251024404
38,1,0.03947827997398196
38,2,0.03959327305866213
38,3,0.04307599571569522
38,4,0.04270053782391249
38,5,0.03711058339823319
38,6,0.03238967540295996
38,7,0.027483765136551562
38,8,0.02880301108254246
38,9,0.031502918061217716
38,10,0.03539402853491381
38,11,0.039917674041253313
38,12,0.039810401403249686
39,1,0.04076241128889972
39,2,0.03981000166723003
39,3,0.048496835731040036
39,4,0.048166466745145686
39,5,0.041731605815311386
39,6,0.039879214976362265
39,7,0.02952757891401925
39,8,0.03061486478995615
39,9,0.03411092472889201
39,10,0.035741348262804395
39,11,0.04093856435120999
39,12,0.042244286575186335
40,1,0.0387497336835469
40,2,0.042025327566723655
40,3,0.0502456755076761
40,4,0.0483374592337897
40,5,0.04407550794213735
40,6,0.040618780091362584
40,7,0.03167502896435449
40,8,0.033006128236054304
40,9,0.03597505966205713
40,10,0.03600452887390776
40,11,0.03437884542968613
40,12,0.0375270237892852
41,1,0.036587547837953316
41,2,0.035426837041632304
41,3,0.04008944118833017
41,4,0.034791178763664034
41,5,0.03302037762402521
41,6,0.03226738446066805
41,7,0.028612905830820965
41,8,0.0294285820507967
41,9,0.03238447439257949
41,10,0.03317547257832287
41,11,0.03698926916336836
41,12,0.037628084791958206
42,1,0.045909585777476614
42,2,0.04347799104301698
42,3,0.04337726616154032
42,4,0.04458849094335211
42,5,0.04773226940794009
42,6,0.04548502381903803
42,7,0.03553908569749876
42,8,0.03666100809357293
42,9,0.039432098730706966
42,10,0.04034701077374882
42,11,0.05206685015804882
42,12,0.04659356098034394
43,1,0.037836910212415864
43,2,0.038681509835707756
43,3,0.042587746098907704
43,4,0.04164679045468681
43,5,0.037714091546780966
43,6,0.03223222756208956
43,7,0.026623343482863198
43,8,0.027471343830330452
43,9,0.029724012988102098
43,10,0.03432913289460105
43,11,0.038956559811064696
43,12,0.03896734383007981
44,1,0.041545018439602274
44,2,0.04037336931346359
44,3,0.044956058288572534
44,4,0.04569524491211385
44,5,0.03971116621779586
44,6,0.035317807230432915
44,7,0.02963287372253492
44,8,0.02997277327079902
44,9,0.033011524326882515
44,10,0.03626322024087995
44,11,0.04213815009891972
44,12,0.04195601216970214
45,1,0.04430510247810604
45,2,0.042885122423253055
45,3,0.04719598798211457
45,4,0.04923901872159918
45,5,0.04321098896893766
45,6,0.03773626604954613
45,7,0.030019826961339303
45,8,0.030632032982131487
45,9,0.033615716114571245
45,10,0.03873384739653648
45,11,0.044405698400830695
45,12,0.046164254640626755
46,1,0.037710578739933436
46,2,0.03677794944012696
46,3,0.0425829683914019
46,4,0.04111709104471019
46,5,0.033730121027930576
46,6,0.03347370130709388
46,7,0.026982701799479605
46,8,0.026673785489360755
46,9,0.030227594783487292
46,10,0.03271533937955475
46,11,0.03807640600339029
46,12,0.03905109922372122
47,1,0.04136332569758842
47,2,0.03977800912562437
47,3,0.049530933513634634
47,4,0.046936573121303185
47,5,0.043799346087036145
47,6,0.04153846076083173
47,7,0.029550946796215692
47,8,0.03148990139648825
47,9,0.034354025022594936
47,10,0.03582916821586304
47,11,0.04154402833444705
47,12,0.04228415721341141
48,1,0.04300767488534147
48,2,0.04211912458813994
48,3,0.04654454591235531
48,4,0.04773673380725655
48,5,0.04066662802329656
48,6,0.038117776274707
48,7,0.029319257718810356
48,8,0.030726753377624684
48,9,0.03214433382217584
48,10,0.03740368317479416
48,11,0.040650587136165026
48,12,0.04297361260063332
49,1,0.03754564739694934
49,2,0.03741094676933092
49,3,0.03817205679333257
49,4,0.035653565050239054
49,5,0.03679682927050816
49,6,0.03545656619204919
49,7,0.03464090676167486
49,8,0.03278667838826928
49,9,0.03441099845745032
49,10,0.03406347376732989
49,11,0.03555757898469883
49,12,0.035341108013814904
50,1,0.042547965254357605
50,2,0.044604606745764434
50,3,0.04974015407727222
50,4,0.048001865922720786
50,5,0.04542416103588499
50,6,0.04193937800844658
50,7,0.03242929970942776
50,8,0.03394315983566013
50,9,0.03696348044926081
50,10,0.036888948136949984
50,11,0.03600320460845289
50,12,0.03969663202991379
51,1,0.04292618637718033
51,2,0.04099337548890159
51,3,0.04499522046095419
51,4,0.04545260493501675
51,5,0.043388488386942335
51,6,0.04160805698866438
51,7,0.03119858334168353
51,8,0.03307690014593919
51,9,0.03680051390532736
51,10,0.0368100546421348
51,11,0.042707023910530835
51,12,0.043817768601984546
52,1,0.041850767257344934
52,2,0.04140873601789294
52,3,0.04664398435513052
52,4,0.04806118654789713
52,5,0.04131544897637554
52,6,0.03736434555830341
52,7,0.0289870193151067
52,8,0.030637272619633334
52,9,0.03232617259468691
52,10,0.03693547840636688
52,11,0.0409839678512504
52,12,0.0427434652294484
53,1,0.03599019898623158
53,2,0.03631351871587795
53,3,0.03805789789216109
53,4,0.03354518065253837
53,5,0.03259504741398476
53,6,0.03229613515329273
53,7,0.030010220300063617
53,8,0.030471141017045403
53,9,0.032088061382484295
53,10,0.03290942164541775
53,11,0.03587220726222009
53,12,0.0371100345950503
54,1,0.03821987850176785
54,2,0.038273071986283665
54,3,0.04398653950243315
54,4,0.04271202716302299
54,5,0.03892215309455596
54,6,0.03325399405120645
54,7,0.02643286315121818
54,8,0.027637445298107997
54,9,0.030095153417255438
54,10,0.03499648482867535
54,11,0.03877257058153802
54,12,0.039514155555873565
55,1,0.04096920650307226
55,2,0.03959360280597846
55,3,0.04493369878337646
55,4,0.04521915870461442
55,5,0.040411001175922674
55,6,0.03527650342403032
55,7,0.027535610781418845
55,8,0.02909287431321535
55,9,0.032564110557013276
